filename,width,height,class,xmin,ymin,xmax,ymax
IMG20200408215347.jpg,1000,750,Name,320,223,711,333
IMG20200408215347.jpg,1000,750,HusbandName,314,336,707,450
IMG20200408215347.jpg,1000,750,Gender,322,451,416,520
IMG20200408215347.jpg,1000,750,IdNo,324,523,539,581
IMG20200408215347.jpg,1000,750,DOI,320,589,539,645
IMG20200408215347.jpg,1000,750,DOB,542,516,710,581
IMG20200408215347.jpg,1000,750,DOE,539,586,698,645
IMG20200408215347.jpg,1000,750,Front,42,95,967,688
IMG20200409114413.jpg,1000,750,Name,332,305,653,362
IMG20200409114413.jpg,1000,750,HusbandName,319,372,655,431
IMG20200409114413.jpg,1000,750,Gender,292,447,377,502
IMG20200409114413.jpg,1000,750,IdNo,286,506,506,562
IMG20200409114413.jpg,1000,750,DOB,511,497,676,558
IMG20200409114413.jpg,1000,750,DOI,277,569,507,621
IMG20200409114413.jpg,1000,750,DOE,507,558,676,626
IMG20200409114413.jpg,1000,750,Front,1,234,1000,669
IMG20200409115324.jpg,1000,750,Name,428,256,717,337
IMG20200409115324.jpg,1000,750,HusbandName,425,338,717,426
IMG20200409115324.jpg,1000,750,Gender,422,425,488,474
IMG20200409115324.jpg,1000,750,IdNo,423,476,587,531
IMG20200409115324.jpg,1000,750,DOB,586,476,724,535
IMG20200409115324.jpg,1000,750,DOI,422,531,587,581
IMG20200409115324.jpg,1000,750,DOE,586,531,723,580
IMG20200409115324.jpg,1000,750,Front,226,166,950,626
IMG20200409114648.jpg,1000,750,Name,358,192,650,263
IMG20200409114648.jpg,1000,750,HusbandName,366,321,657,383
IMG20200409114648.jpg,1000,750,Gender,377,451,453,516
IMG20200409114648.jpg,1000,750,IdNo,388,494,558,588
IMG20200409114648.jpg,1000,750,DOB,551,473,637,535
IMG20200409114648.jpg,1000,750,DOE,563,529,641,598
IMG20200409114648.jpg,1000,750,DOI,390,581,514,660
IMG20200409114648.jpg,1000,750,Front,15,6,779,738
IMG20200409115152.jpg,1000,750,Name,317,211,692,313
IMG20200409115152.jpg,1000,750,HusbandName,314,316,696,432
IMG20200409115152.jpg,1000,750,Gender,299,422,391,496
IMG20200409115152.jpg,1000,750,IdNo,298,499,520,571
IMG20200409115152.jpg,1000,750,DOB,521,498,688,578
IMG20200409115152.jpg,1000,750,DOI,298,566,517,634
IMG20200409115152.jpg,1000,750,DOE,515,574,692,636
IMG20200409115152.jpg,1000,750,Front,59,101,1000,679
IMG20200409115510.jpg,1000,750,Name,268,196,642,311
IMG20200409115510.jpg,1000,750,FatherName,277,300,637,391
IMG20200409115510.jpg,1000,750,Gender,288,388,369,442
IMG20200409115510.jpg,1000,750,IdNo,293,441,475,485
IMG20200409115510.jpg,1000,750,DOB,477,444,610,489
IMG20200409115510.jpg,1000,750,DOE,476,486,605,530
IMG20200409115510.jpg,1000,750,DOI,297,484,476,526
IMG20200409115510.jpg,1000,750,Front,1,62,957,556
IMG20200409114743.jpg,1000,750,Name,255,190,706,311
IMG20200409114743.jpg,1000,750,HusbandName,256,321,709,406
IMG20200409114743.jpg,1000,750,Gender,262,452,362,525
IMG20200409114743.jpg,1000,750,IdNo,264,535,510,609
IMG20200409114743.jpg,1000,750,DOB,513,528,660,596
IMG20200409114743.jpg,1000,750,DOI,267,616,514,670
IMG20200409114743.jpg,1000,750,DOE,514,605,668,680
IMG20200409114743.jpg,1000,750,Front,1,69,1000,725
IMG20200409115133.jpg,1000,750,Name,376,177,766,285
IMG20200409115133.jpg,1000,750,HusbandName,375,285,770,401
IMG20200409115133.jpg,1000,750,Gender,374,402,465,472
IMG20200409115133.jpg,1000,750,IdNo,371,471,596,543
IMG20200409115133.jpg,1000,750,DOI,372,545,598,609
IMG20200409115133.jpg,1000,750,DOB,596,471,767,540
IMG20200409115133.jpg,1000,750,DOE,597,543,767,608
IMG20200409115133.jpg,1000,750,Front,117,60,1000,642
